Symbol,Correlation,Capacity
DNJR,nan,36503003.25
ALGRU,nan,0.0
GPAQU,nan,0.0
TZACU,nan,0.0
VIIX,0.9017145156457906,66621642.36
YVR,0.8879992499257372,17395904.1
TVIX,0.8832987712380567,1269359627.0
ZM,0.8539614302568181,41568450768.0
KR,0.829502829059994,24838086036.0
CLX,0.8262917282737288,24072915643.0
GRNV,-0.03517238401043311,71156250.0
UNIT,-0.032496146693093426,963109874.9
NRBO,-0.025614067817794295,200669529.6
SENS,-0.021294666271094595,140654338.6
TNK,-0.014884286129957456,697556753.4
AHCO,-0.014812123354696179,1071135335.0
CNX,-0.013293982682680599,2409021761.0
ACTTU,-0.012016138201630375,0.0
YI,-0.012003461364566922,162435102.2
DBX,-0.007473102467199306,8713697412.0
